Species,Spp,Variable,Mean.Value.Hspp,Value.Hv
Hyloxalus bocagei,"bocagei """,Mean Dominant frequency (Hz),4661.94,3918.04
Hyloxalus italoi,italoi ',Mean Dominant frequency (Hz),3565.3,3918.04
Hyloxalus maculosus,"maculosus """,Mean Dominant frequency (Hz),4105.42,3918.04
Hyloxalus sauli,sauli ',Mean Dominant frequency (Hz),2951.48,3918.04
Hyloxalus yasuni,yasuni ',Mean Dominant frequency (Hz),3608.81,3918.04
Hyloxalus cepedai,cepedai ',Mean Dominant frequency (Hz),5380.43,3918.04
Hyloxalus felixcoperari,felixcoperari ',Mean Dominant frequency (Hz),3565.9,3918.04
Hyloxalus subpunctatus,subpunctatus ',Mean Dominant frequency (Hz),3775,3918.04
Hyloxalus abditaurantius,abditaurantius ',Mean Dominant frequency (Hz),3749.5,3918.04
Hyloxalus arliensis,arliensis ',Mean Dominant frequency (Hz),5882.87,3918.04
Hyloxalus fascianigrus,"fascianigrus """,Mean Dominant frequency (Hz),5077.5,3918.04
Hyloxalus fuliginosus,"fuliginosus """,Mean Dominant frequency (Hz),4100,3918.04
Hyloxalus pulchellus,pulchellus ',Mean Dominant frequency (Hz),2850,3918.04
Hyloxalus sanctamariensis,sanctamariensis ',Mean Dominant frequency (Hz),5176.58,3918.04
Hyloxalus elachyhistus,elachyhistus ',Mean Dominant frequency (Hz),4460,3918.04
Hyloxalus awa,awa ',Mean Dominant frequency (Hz),3200,3918.04
Hyloxalus azureiventris,azureiventris ',Mean Dominant frequency (Hz),3500,3918.04
Hyloxalus nexipus,nexipus ',Mean Dominant frequency (Hz),4700,3918.04
Hyloxalus patitae,patitae ',Mean Dominant frequency (Hz),4130,3918.04
Hyloxalus toachi,toachi ',Mean Dominant frequency (Hz),4150,3918.04
Hyloxalus vertebralis,vertebralis ',Mean Dominant frequency (Hz),2900,3918.04
Hyloxalus bocagei,"bocagei """,Mean Note duration (s),38.04,20.72
Hyloxalus italoi,italoi ',Mean Note duration (s),45.55,20.72
Hyloxalus maculosus,"maculosus """,Mean Note duration (s),45.91,20.72
Hyloxalus sauli,sauli ',Mean Note duration (s),13.36,20.72
Hyloxalus yasuni,yasuni ',Mean Note duration (s),33.89,20.72
Hyloxalus cepedai,cepedai ',Mean Note duration (s),24.1,20.72
Hyloxalus felixcoperari,felixcoperari ',Mean Note duration (s),34,20.72
Hyloxalus subpunctatus,subpunctatus ',Mean Note duration (s),40.8,20.72
Hyloxalus abditaurantius,abditaurantius ',Mean Note duration (s),95.5,20.72
Hyloxalus arliensis,arliensis ',Mean Note duration (s),39.3,20.72
Hyloxalus fascianigrus,"fascianigrus """,Mean Note duration (s),12.3,20.72
Hyloxalus fuliginosus,"fuliginosus """,Mean Note duration (s),NA,20.72
Hyloxalus pulchellus,pulchellus ',Mean Note duration (s),50,20.72
Hyloxalus sanctamariensis,sanctamariensis ',Mean Note duration (s),80,20.72
Hyloxalus elachyhistus,elachyhistus ',Mean Note duration (s),100,20.72
Hyloxalus awa,awa ',Mean Note duration (s),50,20.72
Hyloxalus azureiventris,azureiventris ',Mean Note duration (s),32.57,20.72
Hyloxalus nexipus,nexipus ',Mean Note duration (s),35,20.72
Hyloxalus patitae,patitae ',Mean Note duration (s),NA,20.72
Hyloxalus toachi,toachi ',Mean Note duration (s),32.5,20.72
Hyloxalus vertebralis,vertebralis ',Mean Note duration (s),70,20.72
Hyloxalus bocagei,"bocagei """,Mean Fundamental frequency (Hz),2330.97,2485
Hyloxalus italoi,italoi ',Mean Fundamental frequency (Hz),1860.83,2485
Hyloxalus maculosus,"maculosus """,Mean Fundamental frequency (Hz),2065.27,2485
Hyloxalus sauli,sauli ',Mean Fundamental frequency (Hz),1543.93,2485
Hyloxalus yasuni,yasuni ',Mean Fundamental frequency (Hz),1864.16,2485
Hyloxalus cepedai,cepedai ',Mean Fundamental frequency (Hz),2906.98,2485
Hyloxalus felixcoperari,felixcoperari ',Mean Fundamental frequency (Hz),1822.04,2485
Hyloxalus subpunctatus,subpunctatus ',Mean Fundamental frequency (Hz),NA,2485
Hyloxalus abditaurantius,abditaurantius ',Mean Fundamental frequency (Hz),1921.5,2485
Hyloxalus arliensis,arliensis ',Mean Fundamental frequency (Hz),3199.22,2485
Hyloxalus fascianigrus,"fascianigrus """,Mean Fundamental frequency (Hz),2700,2485
Hyloxalus fuliginosus,"fuliginosus """,Mean Fundamental frequency (Hz),2050,2485
Hyloxalus pulchellus,pulchellus ',Mean Fundamental frequency (Hz),1100,2485
Hyloxalus sanctamariensis,sanctamariensis ',Mean Fundamental frequency (Hz),2727.54,2485
Hyloxalus elachyhistus,elachyhistus ',Mean Fundamental frequency (Hz),2415,2485
Hyloxalus awa,awa ',Mean Fundamental frequency (Hz),NA,2485
Hyloxalus azureiventris,azureiventris ',Mean Fundamental frequency (Hz),1750,2485
Hyloxalus nexipus,nexipus ',Mean Fundamental frequency (Hz),2500,2485
Hyloxalus patitae,patitae ',Mean Fundamental frequency (Hz),NA,2485
Hyloxalus toachi,toachi ',Mean Fundamental frequency (Hz),2100,2485
Hyloxalus vertebralis,vertebralis ',Mean Fundamental frequency (Hz),1150,2485
OVERALL,OVERALL,Mean Dominant frequency (Hz),NA,NA
OVERALL,OVERALL,Mean Fundamental frequency (Hz),NA,NA
OVERALL,OVERALL,Mean Note duration (s),NA,NA